정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(주)경동세라믹스,89146,642,20,642,20,0,22
(주)경인양행앞,42096,1288,921,1288,921,0,73
(주)경인양행앞,42097,1763,3744,1763,3744,0,183
(주)대한특수금속,39050,1167,63,1167,63,0,41
(주)두남,39135,239,42,239,42,0,9
(주)세모입구(린나이코리아),37585,1307,1663,1307,1663,0,99
(주)세모입구(린나이코리아),40893,324,674,324,674,0,33
(주)스킨이데아,89388,486,2610,486,2610,0,103
(주)스킨이데아,89389,3016,29,3016,29,0,101
(주)씨피엔텍,39133,516,3216,516,3216,0,124
(주)씨피엔텍,39134,2176,420,2176,420,0,86
(주)창원,39029,2949,2842,2949,2842,0,193
(주)창원,39030,3586,3172,3586,3172,0,225
(주)하나금속,39124,5,57,5,57,0,2
17사단.다임메가타운,40895,1983,4555,1983,4555,0,217
17사단입구,40832,5,484,2,484,3,16
2001아울렛,40154,3594,5580,3594,5580,0,305
2001아울렛,40159,29628,13570,29620,13570,8,1439
2001아울렛,40162,10513,20089,10508,20089,5,1020
2001아울렛부평점,40158,4746,4780,4746,4780,0,317
2차풍림아이원,42584,23,11380,23,11380,0,380
3단지,40736,165,1656,165,1656,0,60
3단지관리사무소,40107,1648,343,1648,343,0,66
41번구종점,42174,1869,5763,1869,5763,0,254
510번차고지,36145,919,599,919,599,0,50
540번종점,39470,2976,3939,2919,3939,57,230
6공단사거리,37577,310,2471,309,2471,1,92
6공단입구,37442,720,899,720,899,0,53
6공단입구,37443,1179,1583,1179,1583,0,92
8부두,35181,308,1751,308,1751,0,68
8부두,35182,1589,3414,1589,3414,0,166
CJ인천2공장,35591,443,3078,443,3078,0,117
CJ인천2공장,35592,2203,87,2203,87,0,76
E편한세상,42453,2678,1717,2678,1717,0,146
E편한세상,42649,1301,3564,1297,3564,4,162
E편한세상,42726,3781,1627,3778,1627,3,180
GM물류센터,40568,470,1124,470,1124,0,53
GS25편의점,36142,1104,2396,1083,2396,21,116
GS내리주유소,44130,0,14,0,14,0,0
GS내리주유소,44147,1,2,0,2,1,0
GS칼텍스,35168,561,45,561,45,0,20
GS칼텍스,35557,14,2229,14,2229,0,74
GS칼텍스,89220,135,594,135,594,0,24
GS칼텍스,89224,220,1617,220,1617,0,61
GS칼텍스주유소,39814,254,13,254,13,0,8
HD현대인프라코어,36081,669,1592,669,1592,0,75
HD현대인프라코어,36083,2169,822,2168,822,1,99
HD현대인프라코어후문,36077,10,767,10,767,0,25
HD현대인프라코어후문,36078,3539,551,3531,551,8,136
JC회관,37383,3826,3900,3826,3900,0,257
JST기술연구소,89491,5,1853,5,1853,0,61
JST기술연구소,89492,690,47,687,47,3,24
KCC아파트,42391,2026,1457,2026,1457,0,116
KG스틸,42008,2571,4110,2568,4110,3,222
KTX광명역4번출구,58057,2817,23,2817,23,0,94
KT부평지사,40381,9652,6934,9623,6934,29,552
KT부평지사,40384,7112,12208,7101,12208,11,644
KT서인천지사,42932,1546,2405,1546,2405,0,131
KT서인천지사,42933,1512,954,1512,954,0,82
KT송도지점,38568,648,411,648,411,0,35
KT온수분국,43523,675,286,673,286,2,32
KT인천공항지사,35095,215,72,215,72,0,9
KT인천공항지사,35109,6140,3542,6137,3542,3,322
KT인천지사,37415,6203,4611,6196,4611,7,360
KT인천지사,39319,7958,5053,7947,5053,11,433
KT중동지사,55081,755,188,755,188,0,31
KT중동지사,55082,165,1139,165,1139,0,43
LG마그나,89029,5570,2612,5570,2612,0,272
LG마그나,89264,3151,5399,3151,5399,0,285
LG물류센터,39043,355,98,355,98,0,15
LG물류센터,39044,67,531,67,531,0,19
LG전자(주),42297,4857,4642,4857,4642,0,316
LH1단지,35494,8404,3763,8404,3763,0,405
LH1단지,35495,4511,6120,4511,6120,0,354
LH49단지행복주택아파트,35768,733,1387,733,1387,0,70
LH49단지행복주택아파트,35769,1836,901,1836,901,0,91
LH7단지,35451,3637,2025,3636,2025,1,188
LH7단지,35452,2224,3864,2224,3864,0,202
LH미추홀3단지,37222,3301,5977,3273,5977,28,309
LH미추홀3단지,37635,6659,2943,6647,2943,12,320
LH웨스턴블루힐정문,89184,1737,3674,1736,3674,1,180
LH웨스턴블루힐정문,89185,4408,3429,4404,3429,4,261
NKG물류센터,89212,325,221,325,221,0,18
SK.GS주유소,89230,1301,1385,1300,1385,1,89
SK.GS주유소,89231,1580,1799,1580,1799,0,112
SKLPG충전사업소,35636,764,13,755,13,9,25
SKLPG충전사업소,35638,16,730,5,730,11,24
SK뷰아파트,42888,1372,4474,1372,4474,0,194
SK뷰아파트,42889,6665,1213,6665,1213,0,262
SK스카이뷰,37601,292,28254,292,28254,0,951
SK스카이뷰104동,37587,6657,42,6657,42,0,223
SK스카이뷰109동,37607,7192,56,7192,56,0,241
SK인천석유화학,42767,1018,680,1017,680,1,56
SK인천석유화학,42768,356,816,356,816,0,39
SK주유소,42956,614,647,614,647,0,42
SK주유소앞,35287,1531,135,1527,135,4,55
SK주유소앞,35539,125,1431,125,1431,0,51
SK충전소,35085,49,2235,34,2235,15,76
e편한세상 정문,38624,19681,1635,19676,1635,5,710
e편한세상(109동 앞),32062,790,1250,790,1250,0,68
e편한세상(109동앞),38643,907,492,907,492,0,46
e편한세상1차(정문),35662,551,996,551,996,0,51
e편한세상1차(정문),35663,1456,558,1456,558,0,67
e편한세상계양,41037,13145,3654,13135,3654,10,559
e편한세상계양,41038,5072,12941,5068,12941,4,600
